locus_id	chrom	start_gr1	end_gr1	start_bed0	end_bed	summit_gr1	summit_bed0	representative_sample	representative_group	representative_qvalue	representative_signal	representative_normalized_rank	AML_n_patients	PBMC_n_patients	AML_n_peak_positive	PBMC_n_peak_positive	AML_peak_fraction	PBMC_peak_fraction	AML_group_mean_RPGC	PBMC_group_mean_RPGC	AML_group_median_RPGC	PBMC_group_median_RPGC	peak_fraction_difference	mean_RPGC_difference	median_RPGC_difference
21	chr2	24921095	24921595	24921094	24921595	24921345	24921344	990	AML	3.48267	4.61775	0.20588235294117652	13	3	1	0	0.07692307692307693	0	1.8406392766201933	2.4418642523283967	2.0472783647373527	2.9873557326322544	0.07692307692307693	-0.6012249757082033	-0.9400773678949017
22	chr2	24924799	24925299	24924798	24925299	24925049	24925048	270	AML	2.19211	4.19375	0	13	3	1	0	0.07692307692307693	0	1.7336010405238682	2.3562299598476844	1.5082044154108165	1.6025776146890636	0.07692307692307693	-0.6226289193238161	-0.09437319927824706
23	chr2	24926421	24926921	24926420	24926921	24926671	24926670	546	AML	6.23711	6.04382	0.4444444444444444	13	3	2	0	0.15384615384615385	0	3.5680418437881327	2.8867396242366343	3.06789372543137	1.8578139940897624	0.15384615384615385	0.6813022195514984	1.2100797313416074
24	chr2	24926923	24927423	24926922	24927423	24927173	24927172	990	AML	2.5955	4.10467	0	13	3	2	0	0.15384615384615385	0	3.1697095795635364	2.462402896014992	3.189838883405674	2.043596173950774	0.15384615384615385	0.7073066835485444	1.1462427094548997
25	chr2	24935234	24935734	24935233	24935734	24935484	24935483	566	AML	2.55095	4.51009	0.46875	13	3	1	0	0.07692307692307693	0	1.5445552987655553	1.544984704640732	1.4482991923829038	1.6939999809760058	0.07692307692307693	-4.294058751765917e-4	-0.24570078859310196
26	chr2	24953838	24954338	24953837	24954338	24954088	24954087	673	PBMC	2.3002	4.02493	0.1923076923076923	13	3	0	1	0	0.3333333333333333	0.9586537893184882	1.8612601761015273	0.6478663861394642	1.9749887570173679	-0.3333333333333333	-0.9026063867830391	-1.3271223708779036
27	chr2	24971487	24971987	24971486	24971987	24971737	24971736	990	AML	54.93848	15.06884	1	13	3	13	3	1	1	25.9282275740862	37.445262907983775	21.518928112859975	33.54658675051021	0	-11.517035333897574	-12.027658637650234
28	chr2	24984757	24985257	24984756	24985257	24985007	24985006	546	AML	14.65353	10.06486	0.8333333333333334	13	3	4	0	0.3076923076923077	0	3.822128136678169	1.1507224529010014	3.187681814867579	1.0338764787909989	0.3076923076923077	2.6714056837771674	2.15380533607658
29	chr2	24986377	24986877	24986376	24986877	24986627	24986626	546	AML	5.10885	5.61451	0.33333333333333337	13	3	1	0	0.07692307692307693	0	1.7014185539427467	0.8573095420956691	1.5189490798942582	0.5853866736094157	0.07692307692307693	0.8441090118470775	0.9335624062848425
30	chr2	25009906	25010406	25009905	25010406	25010156	25010155	673	PBMC	4.7868	5.53428	0.8333333333333334	13	3	2	1	0.15384615384615385	0.3333333333333333	2.3614962073161676	2.5566109573531772	1.77361929107331	1.0419425992908593	-0.17948717948717946	-0.19511475003700962	0.73167669178245065
31	chr2	25014387	25014887	25014386	25014887	25014637	25014636	673	PBMC	2.3002	4.02493	0.16666666666666663	13	3	0	1	0	0.3333333333333333	1.0193042154596201	1.4544520463772164	0.9680596340202285	1.121266471173711	-0.3333333333333333	-0.43514783091759623	-0.1532068371534825
32	chr2	25018046	25018546	25018045	25018546	25018296	25018295	566	AML	5.08611	6.05194	0.875	13	3	1	0	0.07692307692307693	0	1.1531028215665158	0.9951127435236238	0.9107648541113573	1.0025184949239094	0.07692307692307693	0.157990078042892	-0.0917536408125521
33	chr2	25020789	25021289	25020788	25021289	25021039	25021038	1360	AML	2.1995	4.18408	0.24137931034482762	13	3	1	0	0.07692307692307693	0	0.8427541239661005	0.4689122570885552	0.7252225666464922	0.385584036509196	0.07692307692307693	0.3738418668775453	0.3396385301372962
34	chr2	25025681	25026181	25025680	25026181	25025931	25025930	1360	AML	2.1995	4.18408	0.2068965517241379	13	3	1	0	0.07692307692307693	0	1.0726823078291987	0.6539391307773704	0.7285190337670302	0.7746733824412028	0.07692307692307693	0.4187431770518283	-0.04615434867417256
35	chr2	25026758	25027258	25026757	25027258	25027008	25027007	566	AML	2.22039	4.24786	0.28125	13	3	1	0	0.07692307692307693	0	1.4825136790018596	1.3716029612841958	0.9631573321100718	1.2221007245981288	0.07692307692307693	0.11091071771766381	-0.258943392488057
36	chr2	25029068	25029568	25029067	25029568	25029318	25029317	673	PBMC	2.69536	4.07714	0.34615384615384615	13	3	0	1	0	0.3333333333333333	0.9770484014386939	1.4609134680655347	0.8418578873137514	1.1790774107693198	-0.3333333333333333	-0.4838650666268408	-0.3372195234555684
37	chr2	25041828	25042328	25041827	25042328	25042078	25042077	673	PBMC	10.83754	6.76133	0.9615384615384616	13	3	11	3	0.8461538461538461	1	15.995572166912899	26.133121265543355	13.506137386291565	19.806351939599196	-0.15384615384615385	-10.137549098630457	-6.300214553307631
38	chr2	25042773	25043273	25042772	25043273	25043023	25043022	260	AML	2.46616	4.25894	0	13	3	1	0	0.07692307692307693	0	4.422123343644742	4.229236499991959	4.760328867716228	3.989741975437857	0.07692307692307693	0.19288684365278286	0.770586892278371
39	chr2	25054800	25055300	25054799	25055300	25055050	25055049	673	PBMC	2.3002	4.02493	0.15384615384615385	13	3	0	1	0	0.3333333333333333	1.3471595752482661	1.152803117564259	1.608145679780347	0.82279964835343955	-0.3333333333333333	0.1943564576840071	0.7853460314269075
40	chr2	25056544	25057044	25056543	25057044	25056794	25056793	1360	AML	2.1995	4.18408	0.1724137931034483	13	3	1	0	0.07692307692307693	0	1.4219435443897208	0.9691066646766282	1.1957442960339393	0.8953997917517931	0.07692307692307693	0.4528368797130926	0.3003445042821462
41	chr2	25062584	25063084	25062583	25063084	25062834	25062833	027	AML	2.1039	4.184	0.3571428571428571	13	3	1	0	0.07692307692307693	0	1.2517988463068968	0.9905740832854174	1.3775870328891777	0.8348994993877982	0.07692307692307693	0.26122476302147934	0.5426875335013795
42	chr2	25065395	25065895	25065394	25065895	25065645	25065644	103	PBMC	2.80719	4.41217	0.303030303030303	13	3	0	2	0	0.6666666666666666	1.5155889913817255	1.7346781953842103	1.2754857966048037	1.9844008817406233	-0.6666666666666666	-0.21908920400248477	-0.7089150851358197
43	chr2	25065999	25066499	25065998	25066499	25066249	25066248	103	PBMC	2.80719	4.41217	0.2727272727272727	13	3	0	2	0	0.6666666666666666	1.0618018325565233	2.2987651279269263	0.9631567324944836	1.823066867040303	-0.6666666666666666	-1.236963295370403	-0.8599101345458193
44	chr2	25088217	25088717	25088216	25088717	25088467	25088466	673	PBMC	6.9965	5.8076	0.8974358974358975	13	3	0	1	0	0.3333333333333333	1.0145489943479586	2.5006731111291085	0.48171255640878885	2.1793445747293636	-0.3333333333333333	-1.4861241167811499	-1.6976320183205749
45	chr2	25088733	25089233	25088732	25089233	25088983	25088982	673	PBMC	2.54103	3.81494	0.3205128205128205	13	3	0	1	0	0.3333333333333333	1.8336720747935247	2.893365910587831	1.5069047076973372	2.5869197245843396	-0.3333333333333333	-1.0596938357943064	-1.0800150168870024
46	chr2	25091209	25091709	25091208	25091709	25091459	25091458	673	PBMC	2.3907	3.70246	0.28205128205128205	13	3	0	1	0	0.3333333333333333	1.4935486311189923	2.626536335218611	1.624233951587639	2.3135063890925425	-0.3333333333333333	-1.1329877040996186	-0.6892724375049035
47	chr2	25096342	25096842	25096341	25096842	25096592	25096591	673	PBMC	2.9573	4.12851	0.46153846153846156	13	3	0	1	0	0.3333333333333333	1.243618914979624	2.2224191359020598	1.0014441660540307	0.5781109173616725	-0.3333333333333333	-0.9788002209224358	0.4233332486923582
48	chr2	25109991	25110491	25109990	25110491	25110241	25110240	673	PBMC	2.85881	3.90472	0.42307692307692313	13	3	0	1	0	0.3333333333333333	1.2508169902774864	2.7168165763377825	1.1632967080898629	1.6993764331954682	-0.3333333333333333	-1.4659995860602961	-0.5360797251056053
49	chr2	25123717	25124217	25123716	25124217	25123967	25123966	546	AML	2.99605	4.46361	0.11111111111111116	13	3	1	0	0.07692307692307693	0	2.0397259471201594	1.8235285167129374	1.4306657909157272	1.29873320989742	0.07692307692307693	0.21619743040722206	0.13193258101830718
50	chr2	25127800	25128300	25127799	25128300	25128050	25128049	673	PBMC	7.19816	5.51444	0.9102564102564102	13	3	0	1	0	0.3333333333333333	1.562951339310661	2.770861296120756	1.2930609090123586	1.7504656683661028	-0.3333333333333333	-1.2079099568100948	-0.45740475935374425
51	chr2	25129102	25129602	25129101	25129602	25129352	25129351	576	PBMC	8.99978	7.82703	0.7105263157894737	13	3	3	2	0.23076923076923078	0.6666666666666666	2.903743072513719	3.9381928804788444	2.026398140037369	3.025000390416372	-0.43589743589743585	-1.0344498079651254	-0.9986022503790029
52	chr2	25132218	25132718	25132217	25132718	25132468	25132467	566	AML	2.4501	4.02916	0.40625	13	3	1	0	0.07692307692307693	0	2.376990485791693	2.537826929977554	1.9564257876839704	2.511423194955685	0.07692307692307693	-0.16083644418586118	-0.5549974072717148
53	chr2	25139583	25140083	25139582	25140083	25139833	25139832	103	PBMC	2.51816	4.06908	0.12121212121212122	13	3	0	1	0	0.3333333333333333	0.8698874824555554	2.791745027858102	0.7252225666464922	2.8413373607837276	-0.3333333333333333	-1.9218575454025468	-2.1161147941372356
54	chr2	25143816	25144316	25143815	25144316	25144066	25144065	673	PBMC	2.3002	3.62235	0	13	3	0	1	0	0.3333333333333333	1.3569602765887632	2.4451623365867956	1.712312810197324	1.9037337174672566	-0.3333333333333333	-1.0882020599980324	-0.19142090726993266
55	chr2	25144613	25145113	25144612	25145113	25144863	25144862	1360	AML	2.86968	4.58558	0.5517241379310345	13	3	1	0	0.07692307692307693	0	1.1835708276807813	2.2216109141300935	1.0101233266308873	2.725190257597826	0.07692307692307693	-1.0380400864493122	-1.7150669309669389
56	chr2	25146432	25146932	25146431	25146932	25146682	25146681	673	PBMC	4.50567	4.77083	0.8076923076923077	13	3	0	2	0	0.6666666666666666	1.610069695639936	3.4928343129094572	1.3584294090727846	1.485611089332375	-0.6666666666666666	-1.8827646172695212	-0.12718168025959042
57	chr2	25151954	25152454	25151953	25152454	25152204	25152203	566	AML	3.82429	4.74903	0.78125	13	3	2	0	0.15384615384615385	0	2.422423043449445	2.683572110143092	2.077072645137886	1.7181993775263043	0.15384615384615385	-0.2611490666936467	0.3588732676115818
58	chr2	25154714	25155214	25154713	25155214	25154964	25154963	673	PBMC	2.74181	3.55159	0.3717948717948718	13	3	0	1	0	0.3333333333333333	1.5743385466053321	2.5833254950251168	1.9728418174618019	1.375365183976834	-0.3333333333333333	-1.0089869484197846	0.5974766334849679
59	chr2	25157127	25157627	25157126	25157627	25157377	25157376	103	PBMC	2.98177	4.12851	0.33333333333333337	13	3	0	1	0	0.3333333333333333	1.6002144300679577	2.6037222524523655	1.6600111225645937	1.9158333011729989	-0.3333333333333333	-1.0035078223844078	-0.25582217860840517
60	chr2	25161433	25161933	25161432	25161933	25161683	25161682	576	PBMC	3.94505	5.07389	0.5	13	3	1	3	0.07692307692307693	1	2.4356135349201935	5.869055577856813	1.475694082454293	6.540913126901714	-0.9230769230769231	-3.43344204293662	-5.065219044447421
61	chr2	25165900	25166400	25165899	25166400	25166150	25166149	990	AML	4.9532	5.32481	0.38235294117647056	13	3	1	1	0.07692307692307693	0.3333333333333333	2.8676248213378366	3.22663043216317	2.7364387997610127	3.1096997886836646	-0.2564102564102564	-0.3590056108253332	-0.3732609889226519
62	chr2	25168063	25168563	25168062	25168563	25168313	25168312	566	AML	3.13587	4.74023	0.65625	13	3	1	0	0.07692307692307693	0	2.6522883189432855	1.7990179954967893	2.1714834405514534	1.7335383116366145	0.07692307692307693	0.8532703234464962	0.43794512891483883
63	chr2	25168672	25169172	25168671	25169172	25168922	25168921	673	PBMC	2.70097	3.93447	0.3589743589743589	13	3	1	1	0.07692307692307693	0.3333333333333333	1.7928667076168825	2.378881798612223	1.7378639032740792	1.8620546642177833	-0.2564102564102564	-0.5860150909953403	-0.12419076094370407
64	chr2	25176549	25177049	25176548	25177049	25176799	25176798	673	PBMC	2.82355	4.17659	0.41025641025641024	13	3	1	1	0.07692307692307693	0.3333333333333333	1.3777077036227532	1.5574166823131437	1.3699664519932455	1.542336146036784	-0.2564102564102564	-0.1797089786903905	-0.1723696940435384
65	chr2	25178275	25178775	25178274	25178775	25178525	25178524	673	PBMC	4.00948	4.79272	0.7692307692307692	13	3	1	2	0.07692307692307693	0.6666666666666666	1.559395407415033	2.685936935171634	1.0597676240993354	1.868777271516309	-0.5897435897435896	-1.1265415277566009	-0.8090096474169735
66	chr2	25196349	25196849	25196348	25196849	25196599	25196598	673	PBMC	6.79058	6.11571	0.8846153846153846	13	3	3	2	0.23076923076923078	0.6666666666666666	2.6401351319467823	2.466682648666684	2.5477160084509327	2.8972767047777386	-0.43589743589743585	0.17345248328009832	-0.34956069632680586
67	chr2	25201775	25202275	25201774	25202275	25202025	25202024	673	PBMC	6.35161	6.0311	0.8717948717948718	13	3	2	1	0.15384615384615385	0.3333333333333333	2.046033701789776	3.0962579401825874	1.6684100670728854	2.61628820201356	-0.17948717948717946	-1.0502242383928113	-0.9478781349406746
68	chr2	25206988	25207488	25206987	25207488	25207238	25207237	673	PBMC	5.15123	5.41306	0.858974358974359	13	3	2	1	0.15384615384615385	0.3333333333333333	2.6201635610118323	3.1812544702611123	3.0574763806280263	3.3686049346200484	-0.17948717948717946	-0.56109090924928	-0.3111285539920221
69	chr2	25213061	25213561	25213060	25213561	25213311	25213310	270	AML	2.59373	4.50219	0.4	13	3	1	0	0.07692307692307693	0	1.995488849905949	3.225595851065077	1.1700794756293535	3.3638002332337127	0.07692307692307693	-1.2301070011591277	-2.193720757604359
70	chr2	25214994	25215494	25214993	25215494	25215244	25215243	566	AML	4.50321	5.25337	0.84375	13	3	2	0	0.15384615384615385	0	3.1544756779889624	4.397647196661213	2.5982115056938277	3.3966468646378813	0.15384615384615385	-1.2431715186722503	-0.7984353589440536
71	chr2	25215851	25216351	25215850	25216351	25216101	25216100	990	AML	28.05905	13.53008	0.9117647058823529	13	3	3	3	0.23076923076923078	1	6.036638947615293	9.303892847068772	3.8220987391329095	5.855507854454056	-0.7692307692307692	-3.267253899453479	-2.0334091153211467
72	chr2	25227020	25227520	25227019	25227520	25227270	25227269	027	AML	2.44072	4.43965	0.6428571428571428	13	3	1	1	0.07692307692307693	0.3333333333333333	2.001666934464945	2.0757948519861547	1.4305620659849125	1.923898781963927	-0.2564102564102564	-0.07412791752120951	-0.4933367159790145
73	chr2	25228758	25229258	25228757	25229258	25229008	25229007	472	AML	2.55272	4.78583	0.1428571428571429	13	3	1	0	0.07692307692307693	0	2.8940287627475376	2.7897701201562635	2.974009516710293	2.3231999234049145	0.07692307692307693	0.10425864259127415	0.6508095933053784
74	chr2	25230654	25231154	25230653	25231154	25230904	25230903	566	AML	2.08066	3.73921	0.15625	13	3	1	0	0.07692307692307693	0	1.902978783229996	3.0675200599079044	1.6687161363289504	2.1662831839449153	0.07692307692307693	-1.1645412766779084	-0.4975670476159648
75	chr2	25231524	25232024	25231523	25232024	25231774	25231773	773	AML	2.44485	4.17246	0	13	3	1	0	0.07692307692307693	0	1.896998568227649	2.2374038265612786	1.033337243778739	2.3135063938513962	0.07692307692307693	-0.34040525833362967	-1.2801691500726573
76	chr2	25250802	25251302	25250801	25251302	25251052	25251051	773	AML	3.27879	4.60052	0.30000000000000004	13	3	1	0	0.07692307692307693	0	3.536798916250335	4.448546908334819	2.132608035367406	3.595045196795892	0.07692307692307693	-0.9117479920844844	-1.4624371614284857
77	chr2	25251513	25252013	25251512	25252013	25251763	25251762	018	AML	4.38849	5.2691	0.6	13	3	4	1	0.3076923076923077	0.3333333333333333	6.083983230440733	5.414342916257684	4.657898561683243	5.398186293428767	-0.025641025641025605	0.6696403141830487	-0.7402877317455241
78	chr2	25252153	25252653	25252152	25252653	25252403	25252402	990	AML	15.4982	9.05405	0.8235294117647058	13	3	4	2	0.3076923076923077	0.6666666666666666	6.098485257152257	7.589581272123024	4.718438732409906	6.3713244469817765	-0.3589743589743589	-1.4910960149707666	-1.6528857145718705
79	chr2	25263093	25263593	25263092	25263593	25263343	25263342	270	AML	2.56555	4.42053	0.19999999999999996	13	3	1	0	0.07692307692307693	0	1.2753942676830015	1.8833084786961416	0.7351121678799688	1.8718360122330413	0.07692307692307693	-0.6079142110131401	-1.1367238443530725
80	chr2	25267691	25268191	25267690	25268191	25267941	25267940	673	PBMC	4.15255	4.89257	0.7948717948717949	13	3	0	1	0	0.3333333333333333	1.0555359651722813	2.641036315116578	0.9712724271648658	2.6512448171417633	-0.3333333333333333	-1.5855003499442966	-1.6799723899768975
81	chr2	25273323	25273823	25273322	25273823	25273573	25273572	773	AML	5.68996	5.76812	0.5333333333333333	13	3	1	1	0.07692307692307693	0.3333333333333333	3.1078793803393228	6.3057965291633025	2.7421809389681635	5.020153432549117	-0.2564102564102564	-3.1979171488239797	-2.2779724935809536
82	chr2	25275188	25275688	25275187	25275688	25275438	25275437	018	AML	3.32086	4.58993	0.4	13	3	2	0	0.15384615384615385	0	4.453232557455479	4.465583809200954	4.259040305238522	3.254678980319086	0.15384615384615385	-0.012351251745474912	1.004361324919436
83	chr2	25276643	25277143	25276642	25277143	25276893	25276892	576	PBMC	5.33006	5.07375	0.5789473684210527	13	3	3	2	0.23076923076923078	0.6666666666666666	4.87168296535096	9.970842869378533	3.175662203939137	6.577023251089983	-0.43589743589743585	-5.099159904027573	-3.401361047150846
84	chr2	25277156	25277656	25277155	25277656	25277406	25277405	773	AML	5.28693	5.49803	0.4666666666666667	13	3	5	2	0.38461538461538464	0.6666666666666666	5.761358298099336	7.648162712673307	4.348431888454688	5.727334859128484	-0.282051282051282	-1.8868044145739713	-1.3789029706737956
85	chr2	25279254	25279754	25279253	25279754	25279504	25279503	673	PBMC	2.54635	3.54755	0.33333333333333337	13	3	2	1	0.15384615384615385	0.3333333333333333	3.6882855938671737	3.298805022667982	2.9626360275074393	3.632624067470223	-0.17948717948717946	0.38948057119919177	-0.6699880399627838
86	chr2	25285846	25286346	25285845	25286346	25286096	25286095	576	PBMC	9.17042	7.74317	0.736842105263158	13	3	0	3	0	1	2.8036634838381582	9.585600118833785	2.6437614711220867	6.801547096161071	-1	-6.781936634995627	-4.157785625038985
87	chr2	25290937	25291437	25290936	25291437	25291187	25291186	546	AML	2.53717	3.55051	0	13	3	1	0	0.07692307692307693	0	3.1856953335232987	3.066310589819532	2.213540680632144	2.8757667791343735	0.07692307692307693	0.11938474370376673	-0.6622260985022295
88	chr2	25294450	25294950	25294449	25294950	25294700	25294699	1360	AML	4.27856	5.17842	0.7931034482758621	13	3	5	2	0.38461538461538464	0.6666666666666666	6.51632536616209	5.5455839832227225	4.63969573336923	5.714950305497099	-0.282051282051282	0.9707413829393676	-1.0752545721278688
89	chr2	25295050	25295550	25295049	25295550	25295300	25295299	103	PBMC	13.59463	7.75419	0.8181818181818181	13	3	5	3	0.38461538461538464	1	6.500887132104633	11.889481252301001	4.3517276284223545	12.78566650668542	-0.6153846153846154	-5.388594120196369	-8.433938878263065
90	chr2	25301382	25301882	25301381	25301882	25301632	25301631	546	AML	6.64422	6.11995	0.5	13	3	2	2	0.15384615384615385	0.6666666666666666	3.9529913443492593	4.82990313785836	4.303566660947666	4.1094749680536236	-0.5128205128205128	-0.8769117935091009	0.19409169289404282
91	chr2	25309302	25309802	25309301	25309802	25309552	25309551	990	AML	3.4328	4.58342	0.17647058823529416	13	3	1	0	0.07692307692307693	0	2.1562213084856228	2.750914326486632	1.7916746482163846	2.6640367460346033	0.07692307692307693	-0.594693018001009	-0.8723620978182187
92	chr2	25314370	25314870	25314369	25314870	25314620	25314619	576	PBMC	7.37497	6.79309	0.6578947368421053	13	3	0	1	0	0.3333333333333333	2.0468153964534217	6.177444680246289	1.3702877210285849	4.524900478279282	-0.3333333333333333	-4.130629283792867	-3.154612757250697
93	chr2	25314884	25315384	25314883	25315384	25315134	25315133	546	AML	2.87069	4.31476	0.02777777777777779	13	3	1	0	0.07692307692307693	0	2.9186123168799765	3.15484336091928	2.8069578325915003	3.3020046504433758	0.07692307692307693	-0.2362310440393034	-0.49504681785187543
94	chr2	25323531	25324031	25323530	25324031	25323781	25323780	1360	AML	2.2127	4.1201	0.3448275862068966	13	3	1	0	0.07692307692307693	0	1.056084299058239	1.7991835202127002	0.8482445890080191	1.5493479355604587	0.07692307692307693	-0.7430992211544611	-0.7011033465524396
95	chr2	25342345	25342845	25342344	25342845	25342595	25342594	673	PBMC	15.43109	7.38552	0.9743589743589743	13	3	9	3	0.6923076923076923	1	9.985832490222567	14.019445802875147	9.657850244563972	11.689946693336655	-0.3076923076923077	-4.03361331265258	-2.0320964487726823
96	chr2	25347147	25347647	25347146	25347647	25347397	25347396	673	PBMC	2.34384	3.80532	0.23076923076923073	13	3	1	1	0.07692307692307693	0.3333333333333333	1.783493422480858	2.005128939311979	1.269138362355337	1.855332173273235	-0.2564102564102564	-0.22163551683112082	-0.5861938109178981
97	chr2	25349116	25349616	25349115	25349616	25349366	25349365	673	PBMC	2.3002	4.02493	0.14102564102564108	13	3	0	1	0	0.3333333333333333	0.9384166257970439	1.249571143510099	0.41688632060905656	0.7367545497155713	-0.3333333333333333	-0.311154517713055	-0.31986822910651475
98	chr2	25354742	25355242	25354741	25355242	25354992	25354991	673	PBMC	3.34783	4.45831	0.5769230769230769	13	3	0	1	0	0.3333333333333333	1.384028435522156	1.9822256733636736	1.5294202280615619	1.577032408433522	-0.3333333333333333	-0.5981972378415177	-0.047612180371960244
