chrom	start	end	value	sample_id	group
chr2	24762120	24762130	1	018	AML
chr2	24762130	24762140	1	018	AML
chr2	24762150	24762160	1	018	AML
chr2	24762200	24762210	1	018	AML
chr2	24762690	24762700	1	018	AML
chr2	24762910	24762920	0.9090909361839294	018	AML
chr2	24763260	24763270	1	018	AML
chr2	24763300	24763310	1	018	AML
chr2	24763310	24763320	1	018	AML
chr2	24763390	24763400	1	018	AML
chr2	24763400	24763410	1	018	AML
chr2	24763460	24763470	1	018	AML
chr2	24763470	24763480	1	018	AML
chr2	24763480	24763490	1	018	AML
chr2	24763490	24763500	1	018	AML
chr2	24763510	24763520	1	018	AML
chr2	24763520	24763530	1	018	AML
chr2	24763580	24763590	1	018	AML
chr2	24763760	24763770	1	018	AML
chr2	24763780	24763790	1	018	AML
chr2	24763790	24763800	1	018	AML
chr2	24763810	24763820	0.800000011920929	018	AML
chr2	24763830	24763840	1	018	AML
chr2	24763840	24763850	1	018	AML
chr2	24763860	24763870	1	018	AML
chr2	24763870	24763880	1	018	AML
chr2	24763910	24763920	1	018	AML
chr2	24764130	24764140	0.875	018	AML
chr2	24764250	24764260	1	018	AML
chr2	24764750	24764760	1	018	AML
chr2	24764760	24764770	1	018	AML
chr2	24765040	24765050	1	018	AML
chr2	24765090	24765100	1	018	AML
chr2	24765110	24765120	1	018	AML
chr2	24765120	24765130	1	018	AML
chr2	24765150	24765160	1	018	AML
chr2	24765170	24765180	1	018	AML
chr2	24765220	24765230	1	018	AML
chr2	24765230	24765240	1	018	AML
chr2	24765240	24765250	1	018	AML
chr2	24765270	24765280	1	018	AML
chr2	24765310	24765320	1	018	AML
chr2	24765320	24765330	1	018	AML
chr2	24765360	24765370	1	018	AML
chr2	24765370	24765380	0.8999999761581421	018	AML
chr2	24765390	24765400	1	018	AML
chr2	24765410	24765420	1	018	AML
chr2	24765420	24765430	1	018	AML
chr2	24765430	24765440	1	018	AML
chr2	24765440	24765450	1	018	AML
chr2	24765450	24765460	1	018	AML
chr2	24765470	24765480	0.7142857313156128	018	AML
chr2	24765510	24765520	0	018	AML
chr2	24765910	24765920	1	018	AML
chr2	24765920	24765930	1	018	AML
chr2	24765930	24765940	1	018	AML
chr2	24765940	24765950	1	018	AML
chr2	24766040	24766050	1	018	AML
chr2	24766480	24766490	1	018	AML
chr2	24766700	24766710	1	018	AML
chr2	24766720	24766730	1	018	AML
chr2	24766780	24766790	0.5	018	AML
chr2	24766800	24766810	0.75	018	AML
chr2	24766840	24766850	0.5	018	AML
chr2	24767060	24767070	1	018	AML
chr2	24767170	24767180	1	018	AML
chr2	24767400	24767410	1	018	AML
chr2	24767560	24767570	1	018	AML
chr2	24767990	24768000	1	018	AML
chr2	24768060	24768070	1	018	AML
chr2	24768170	24768180	1	018	AML
chr2	24768240	24768250	1	018	AML
chr2	24768250	24768260	1	018	AML
chr2	24768270	24768280	1	018	AML
chr2	24768320	24768330	1	018	AML
chr2	24768500	24768510	0.6666666865348816	018	AML
chr2	24768730	24768740	1	018	AML
chr2	24768750	24768760	1	018	AML
chr2	24768760	24768770	1	018	AML
chr2	24768800	24768810	1	018	AML
chr2	24768820	24768830	1	018	AML
chr2	24768840	24768850	1	018	AML
chr2	24769010	24769020	0.8333333134651184	018	AML
chr2	24769780	24769790	0.875	018	AML
chr2	24770060	24770070	1	018	AML
chr2	24770270	24770280	1	018	AML
chr2	24770660	24770670	1	018	AML
chr2	24771080	24771090	0.8999999761581421	018	AML
chr2	24771180	24771190	1	018	AML
chr2	24771260	24771270	1	018	AML
chr2	24771320	24771330	1	018	AML
chr2	24771330	24771340	1	018	AML
chr2	24771440	24771450	1	018	AML
chr2	24771490	24771500	1	018	AML
chr2	24772060	24772070	0.9411764740943909	018	AML
chr2	24772230	24772240	1	018	AML
chr2	24772240	24772250	1	018	AML
chr2	24772380	24772390	1	018	AML
chr2	24772580	24772590	1	018	AML
chr2	24772750	24772760	1	018	AML
chr2	24772870	24772880	1	018	AML
chr2	24773000	24773010	1	018	AML
chr2	24773010	24773020	1	018	AML
chr2	24773120	24773130	1	018	AML
chr2	24773300	24773310	1	018	AML
chr2	24773310	24773320	1	018	AML
chr2	24773350	24773360	1	018	AML
chr2	24773370	24773380	1	018	AML
chr2	24773380	24773390	1	018	AML
chr2	24773390	24773400	1	018	AML
chr2	24773420	24773430	0.8888888955116272	018	AML
chr2	24773430	24773440	1	018	AML
chr2	24773690	24773700	1	018	AML
chr2	24773790	24773800	0.25	018	AML
chr2	24774060	24774070	0.9230769276618958	018	AML
chr2	24774200	24774210	0.875	018	AML
chr2	24774280	24774290	1	018	AML
chr2	24774290	24774300	0.9166666865348816	018	AML
chr2	24774360	24774370	0.9375	018	AML
chr2	24774490	24774500	1	018	AML
chr2	24774570	24774580	0.9090909361839294	018	AML
chr2	24774580	24774590	1	018	AML
chr2	24774840	24774850	1	018	AML
chr2	24774890	24774900	1	018	AML
chr2	24774900	24774910	1	018	AML
chr2	24775000	24775010	1	018	AML
chr2	24775030	24775040	1	018	AML
chr2	24775040	24775050	0.875	018	AML
chr2	24775060	24775070	1	018	AML
chr2	24775120	24775130	1	018	AML
chr2	24775220	24775230	1	018	AML
chr2	24775260	24775270	1	018	AML
chr2	24775280	24775290	1	018	AML
chr2	24775440	24775450	1	018	AML
chr2	24775780	24775790	1	018	AML
chr2	24775920	24775930	1	018	AML
chr2	24775950	24775960	1	018	AML
chr2	24775980	24775990	1	018	AML
chr2	24776140	24776150	1	018	AML
chr2	24776170	24776180	0.875	018	AML
chr2	24776250	24776260	1	018	AML
chr2	24776260	24776270	1	018	AML
chr2	24776280	24776290	1	018	AML
chr2	24776300	24776310	1	018	AML
chr2	24776310	24776320	0.800000011920929	018	AML
chr2	24776350	24776360	1	018	AML
chr2	24776360	24776370	0.75	018	AML
chr2	24776390	24776400	0.8333333134651184	018	AML
chr2	24776400	24776410	0.5	018	AML
chr2	24776410	24776420	0.75	018	AML
chr2	24776430	24776440	1	018	AML
chr2	24776460	24776470	1	018	AML
chr2	24776750	24776760	1	018	AML
chr2	24776760	24776770	1	018	AML
chr2	24776960	24776970	1	018	AML
chr2	24776990	24777000	1	018	AML
chr2	24777010	24777020	1	018	AML
chr2	24777110	24777120	1	018	AML
chr2	24777330	24777340	1	018	AML
chr2	24777350	24777360	0.875	018	AML
chr2	24777530	24777540	1	018	AML
chr2	24777540	24777550	1	018	AML
chr2	24777590	24777600	1	018	AML
chr2	24777600	24777610	1	018	AML
chr2	24777610	24777620	1	018	AML
chr2	24777640	24777650	1	018	AML
chr2	24777650	24777660	1	018	AML
chr2	24777660	24777670	1	018	AML
chr2	24777670	24777680	1	018	AML
chr2	24777680	24777690	0.8333333134651184	018	AML
chr2	24777690	24777700	1	018	AML
chr2	24777730	24777740	1	018	AML
chr2	24777740	24777750	0.8888888955116272	018	AML
chr2	24777900	24777910	1	018	AML
chr2	24778030	24778040	1	018	AML
chr2	24778060	24778070	0	018	AML
chr2	24778070	24778080	0.6000000238418579	018	AML
chr2	24778170	24778180	0.6666666865348816	018	AML
chr2	24778240	24778250	0.8333333134651184	018	AML
chr2	24778510	24778520	1	018	AML
chr2	24778560	24778570	1	018	AML
chr2	24778840	24778850	1	018	AML
chr2	24778910	24778920	1	018	AML
chr2	24779080	24779090	1	018	AML
chr2	24779090	24779100	0.6666666865348816	018	AML
chr2	24779480	24779490	0.875	018	AML
chr2	24779490	24779500	0.8888888955116272	018	AML
chr2	24779520	24779530	1	018	AML
chr2	24779560	24779570	1	018	AML
chr2	24779620	24779630	1	018	AML
chr2	24779700	24779710	1	018	AML
chr2	24779710	24779720	1	018	AML
chr2	24779720	24779730	0.9583333134651184	018	AML
chr2	24779940	24779950	1	018	AML
chr2	24780220	24780230	1	018	AML
chr2	24780230	24780240	1	018	AML
chr2	24780270	24780280	1	018	AML
chr2	24780280	24780290	1	018	AML
chr2	24780290	24780300	1	018	AML
chr2	24780300	24780310	1	018	AML
chr2	24780330	24780340	1	018	AML
chr2	24780360	24780370	1	018	AML
chr2	24780370	24780380	1	018	AML
chr2	24780410	24780420	0.9166666865348816	018	AML
chr2	24780950	24780960	1	018	AML
chr2	24780960	24780970	1	018	AML
chr2	24781050	24781060	1	018	AML
chr2	24781060	24781070	1	018	AML
chr2	24781090	24781100	1	018	AML
chr2	24781220	24781230	1	018	AML
chr2	24781240	24781250	1	018	AML
chr2	24781350	24781360	1	018	AML
chr2	24781360	24781370	1	018	AML
chr2	24781370	24781380	1	018	AML
chr2	24781400	24781410	1	018	AML
chr2	24781500	24781510	1	018	AML
chr2	24781520	24781530	1	018	AML
chr2	24781530	24781540	1	018	AML
chr2	24781560	24781570	1	018	AML
chr2	24781600	24781610	1	018	AML
chr2	24781890	24781900	0.9285714030265808	018	AML
chr2	24781920	24781930	1	018	AML
chr2	24781930	24781940	1	018	AML
chr2	24781950	24781960	1	018	AML
chr2	24781960	24781970	1	018	AML
chr2	24782020	24782030	0.9411764740943909	018	AML
chr2	24782030	24782040	1	018	AML
chr2	24782050	24782060	1	018	AML
chr2	24782080	24782090	1	018	AML
chr2	24782110	24782120	1	018	AML
chr2	24782140	24782150	1	018	AML
chr2	24782150	24782160	1	018	AML
chr2	24782510	24782520	0.9285714030265808	018	AML
chr2	24782980	24782990	0.9230769276618958	018	AML
chr2	24783000	24783010	1	018	AML
chr2	24783030	24783040	1	018	AML
chr2	24783060	24783070	1	018	AML
chr2	24783150	24783160	1	018	AML
chr2	24783160	24783170	0.8571428656578064	018	AML
chr2	24783240	24783250	1	018	AML
chr2	24783310	24783320	1	018	AML
chr2	24783330	24783340	0.8333333134651184	018	AML
chr2	24783460	24783470	0.6666666865348816	018	AML
chr2	24783470	24783480	1	018	AML
chr2	24783520	24783530	0.8999999761581421	018	AML
chr2	24783570	24783580	1	018	AML
chr2	24783600	24783610	0.8888888955116272	018	AML
chr2	24783690	24783700	1	018	AML
chr2	24783700	24783710	1	018	AML
chr2	24783940	24783950	1	018	AML
chr2	24784090	24784100	1	018	AML
chr2	24784100	24784110	1	018	AML
chr2	24784120	24784130	1	018	AML
chr2	24784220	24784230	1	018	AML
chr2	24784300	24784310	0.9285714030265808	018	AML
chr2	24784440	24784450	1	018	AML
chr2	24784500	24784510	1	018	AML
chr2	24784520	24784530	1	018	AML
chr2	24784530	24784540	1	018	AML
chr2	24784560	24784570	0.7142857313156128	018	AML
chr2	24784600	24784610	1	018	AML
chr2	24784620	24784630	1	018	AML
chr2	24784930	24784940	0.8666666746139526	018	AML
chr2	24785010	24785020	0.9047619104385376	018	AML
chr2	24785100	24785110	0.9411764740943909	018	AML
chr2	24785210	24785220	1	018	AML
chr2	24785300	24785310	0.8888888955116272	018	AML
chr2	24785310	24785320	1	018	AML
chr2	24785450	24785460	1	018	AML
chr2	24785510	24785520	0.75	018	AML
chr2	24785660	24785670	0	018	AML
chr2	24785980	24785990	0.0625	018	AML
chr2	24786080	24786090	0.4615384638309479	018	AML
chr2	24786090	24786100	0.38461539149284363	018	AML
chr2	24786160	24786170	0.2142857164144516	018	AML
chr2	24786270	24786280	1	018	AML
chr2	24786330	24786340	1	018	AML
chr2	24786350	24786360	0	018	AML
chr2	24786430	24786440	1	018	AML
chr2	24786450	24786460	1	018	AML
chr2	24786520	24786530	1	018	AML
chr2	24786550	24786560	0.8888888955116272	018	AML
chr2	24786580	24786590	0.9230769276618958	018	AML
chr2	24786600	24786610	1	018	AML
chr2	24786610	24786620	0.9166666865348816	018	AML
chr2	24786650	24786660	1	018	AML
chr2	24786660	24786670	1	018	AML
chr2	24786690	24786700	0.9090909361839294	018	AML
chr2	24786720	24786730	1	018	AML
chr2	24786740	24786750	1	018	AML
chr2	24786750	24786760	1	018	AML
chr2	24786780	24786790	1	018	AML
chr2	24786790	24786800	1	018	AML
chr2	24786990	24787000	1	018	AML
chr2	24787000	24787010	1	018	AML
chr2	24787040	24787050	1	018	AML
chr2	24787100	24787110	1	018	AML
chr2	24787270	24787280	0.8888888955116272	018	AML
chr2	24787350	24787360	0.8947368264198303	018	AML
chr2	24787460	24787470	1	018	AML
chr2	24787650	24787660	1	018	AML
chr2	24787660	24787670	1	018	AML
chr2	24787740	24787750	1	018	AML
chr2	24788010	24788020	1	018	AML
chr2	24788030	24788040	1	018	AML
chr2	24788040	24788050	1	018	AML
chr2	24788050	24788060	0.800000011920929	018	AML
chr2	24788080	24788090	1	018	AML
chr2	24788120	24788130	0.875	018	AML
chr2	24788140	24788150	1	018	AML
chr2	24788180	24788190	1	018	AML
chr2	24788210	24788220	1	018	AML
chr2	24788220	24788230	1	018	AML
chr2	24788230	24788240	1	018	AML
chr2	24788280	24788290	1	018	AML
chr2	24788390	24788400	1	018	AML
chr2	24788710	24788720	0.75	018	AML
chr2	24788760	24788770	1	018	AML
chr2	24788770	24788780	0.8333333134651184	018	AML
chr2	24788780	24788790	1	018	AML
chr2	24788940	24788950	0.875	018	AML
chr2	24789190	24789200	1	018	AML
chr2	24789200	24789210	1	018	AML
chr2	24789230	24789240	1	018	AML
chr2	24789240	24789250	0.9375	018	AML
chr2	24789300	24789310	0.9411764740943909	018	AML
chr2	24789360	24789370	0.9230769276618958	018	AML
chr2	24789400	24789410	1	018	AML
chr2	24789430	24789440	0.9166666865348816	018	AML
chr2	24789470	24789480	1	018	AML
chr2	24789590	24789600	1	018	AML
chr2	24789640	24789650	1	018	AML
chr2	24789650	24789660	1	018	AML
chr2	24789660	24789670	1	018	AML
chr2	24789700	24789710	0.9090909361839294	018	AML
chr2	24789850	24789860	1	018	AML
chr2	24789860	24789870	1	018	AML
chr2	24789900	24789910	1	018	AML
chr2	24790010	24790020	1	018	AML
chr2	24790040	24790050	1	018	AML
chr2	24790130	24790140	0.8333333134651184	018	AML
chr2	24790330	24790340	1	018	AML
chr2	24790380	24790390	1	018	AML
chr2	24790420	24790430	1	018	AML
chr2	24790460	24790470	0.7777777910232544	018	AML
chr2	24790480	24790490	1	018	AML
chr2	24790540	24790550	1	018	AML
chr2	24790650	24790660	0.8333333134651184	018	AML
chr2	24790720	24790730	1	018	AML
chr2	24790870	24790880	1	018	AML
chr2	24790960	24790970	1	018	AML
chr2	24790980	24790990	1	018	AML
chr2	24791010	24791020	1	018	AML
chr2	24791040	24791050	0.875	018	AML
chr2	24791060	24791070	1	018	AML
chr2	24791110	24791120	0.7777777910232544	018	AML
chr2	24791210	24791220	0.5714285969734192	018	AML
chr2	24791220	24791230	0.5	018	AML
chr2	24791440	24791450	0.8888888955116272	018	AML
chr2	24791560	24791570	1	018	AML
chr2	24791630	24791640	0.8999999761581421	018	AML
chr2	24791710	24791720	1	018	AML
chr2	24791730	24791740	1	018	AML
chr2	24791740	24791750	1	018	AML
chr2	24791750	24791760	0.8333333134651184	018	AML
chr2	24791890	24791900	1	018	AML
chr2	24791910	24791920	1	018	AML
chr2	24792020	24792030	1	018	AML
chr2	24792140	24792150	0.8333333134651184	018	AML
chr2	24792250	24792260	1	018	AML
chr2	24792260	24792270	0.75	018	AML
chr2	24792280	24792290	1	018	AML
chr2	24792290	24792300	0.8333333134651184	018	AML
chr2	24792460	24792470	0.7142857313156128	018	AML
chr2	24792480	24792490	0.7142857313156128	018	AML
chr2	24792670	24792680	0.09090909361839294	018	AML
chr2	24792720	24792730	0.09090909361839294	018	AML
chr2	24792750	24792760	0	018	AML
chr2	24792800	24792810	0	018	AML
chr2	24792810	24792820	0	018	AML
chr2	24792850	24792860	0	018	AML
chr2	24792860	24792870	0	018	AML
chr2	24792870	24792880	0	018	AML
chr2	24792880	24792890	0	018	AML
chr2	24792900	24792910	0	018	AML
chr2	24792910	24792920	0	018	AML
chr2	24792920	24792930	0	018	AML
chr2	24792970	24792980	0	018	AML
chr2	24793010	24793020	0	018	AML
chr2	24793020	24793030	0	018	AML
chr2	24793030	24793040	0	018	AML
chr2	24793040	24793050	0	018	AML
chr2	24793050	24793060	0	018	AML
chr2	24793060	24793070	0	018	AML
chr2	24793080	24793090	0	018	AML
chr2	24793100	24793110	0	018	AML
chr2	24793110	24793120	0	018	AML
chr2	24793120	24793130	0	018	AML
chr2	24793140	24793150	0	018	AML
chr2	24793160	24793170	0	018	AML
chr2	24793170	24793180	0	018	AML
chr2	24793180	24793190	0	018	AML
chr2	24793190	24793200	0	018	AML
chr2	24793200	24793210	0	018	AML
chr2	24793210	24793220	0.03333333507180214	018	AML
chr2	24793230	24793240	0	018	AML
chr2	24793240	24793250	0	018	AML
chr2	24793260	24793270	0	018	AML
chr2	24793280	24793290	0	018	AML
chr2	24793310	24793320	0	018	AML
chr2	24793320	24793330	0	018	AML
chr2	24793330	24793340	0	018	AML
chr2	24793340	24793350	0	018	AML
chr2	24793350	24793360	0	018	AML
chr2	24793360	24793370	0	018	AML
chr2	24793370	24793380	0	018	AML
chr2	24793390	24793400	0	018	AML
