locus_id	chrom	start_gr1	end_gr1	start_bed0	end_bed	summit_gr1	summit_bed0	representative_sample	representative_group	representative_qvalue	representative_signal	representative_normalized_rank
25	chr2	24935234	24935734	24935233	24935734	24935484	24935483	566	AML	2.55095	4.51009	0.46875
26	chr2	24953838	24954338	24953837	24954338	24954088	24954087	673	PBMC	2.3002	4.02493	0.1923076923076923
27	chr2	24971487	24971987	24971486	24971987	24971737	24971736	990	AML	54.93848	15.06884	1
28	chr2	24984757	24985257	24984756	24985257	24985007	24985006	546	AML	14.65353	10.06486	0.8333333333333334
29	chr2	24986377	24986877	24986376	24986877	24986627	24986626	546	AML	5.10885	5.61451	0.33333333333333337
30	chr2	25009906	25010406	25009905	25010406	25010156	25010155	673	PBMC	4.7868	5.53428	0.8333333333333334
31	chr2	25014387	25014887	25014386	25014887	25014637	25014636	673	PBMC	2.3002	4.02493	0.16666666666666663
32	chr2	25018046	25018546	25018045	25018546	25018296	25018295	566	AML	5.08611	6.05194	0.875
33	chr2	25020789	25021289	25020788	25021289	25021039	25021038	1360	AML	2.1995	4.18408	0.24137931034482762
34	chr2	25025681	25026181	25025680	25026181	25025931	25025930	1360	AML	2.1995	4.18408	0.2068965517241379
35	chr2	25026758	25027258	25026757	25027258	25027008	25027007	566	AML	2.22039	4.24786	0.28125
36	chr2	25029068	25029568	25029067	25029568	25029318	25029317	673	PBMC	2.69536	4.07714	0.34615384615384615
37	chr2	25041828	25042328	25041827	25042328	25042078	25042077	673	PBMC	10.83754	6.76133	0.9615384615384616
38	chr2	25042773	25043273	25042772	25043273	25043023	25043022	260	AML	2.46616	4.25894	0
39	chr2	25054800	25055300	25054799	25055300	25055050	25055049	673	PBMC	2.3002	4.02493	0.15384615384615385
40	chr2	25056544	25057044	25056543	25057044	25056794	25056793	1360	AML	2.1995	4.18408	0.1724137931034483
41	chr2	25062584	25063084	25062583	25063084	25062834	25062833	027	AML	2.1039	4.184	0.3571428571428571
42	chr2	25065395	25065895	25065394	25065895	25065645	25065644	103	PBMC	2.80719	4.41217	0.303030303030303
43	chr2	25065999	25066499	25065998	25066499	25066249	25066248	103	PBMC	2.80719	4.41217	0.2727272727272727
44	chr2	25088217	25088717	25088216	25088717	25088467	25088466	673	PBMC	6.9965	5.8076	0.8974358974358975
45	chr2	25088733	25089233	25088732	25089233	25088983	25088982	673	PBMC	2.54103	3.81494	0.3205128205128205
46	chr2	25091209	25091709	25091208	25091709	25091459	25091458	673	PBMC	2.3907	3.70246	0.28205128205128205
47	chr2	25096342	25096842	25096341	25096842	25096592	25096591	673	PBMC	2.9573	4.12851	0.46153846153846156
48	chr2	25109991	25110491	25109990	25110491	25110241	25110240	673	PBMC	2.85881	3.90472	0.42307692307692313
49	chr2	25123717	25124217	25123716	25124217	25123967	25123966	546	AML	2.99605	4.46361	0.11111111111111116
50	chr2	25127800	25128300	25127799	25128300	25128050	25128049	673	PBMC	7.19816	5.51444	0.9102564102564102
51	chr2	25129102	25129602	25129101	25129602	25129352	25129351	576	PBMC	8.99978	7.82703	0.7105263157894737
52	chr2	25132218	25132718	25132217	25132718	25132468	25132467	566	AML	2.4501	4.02916	0.40625
53	chr2	25139583	25140083	25139582	25140083	25139833	25139832	103	PBMC	2.51816	4.06908	0.12121212121212122
54	chr2	25143816	25144316	25143815	25144316	25144066	25144065	673	PBMC	2.3002	3.62235	0
55	chr2	25144613	25145113	25144612	25145113	25144863	25144862	1360	AML	2.86968	4.58558	0.5517241379310345
56	chr2	25146432	25146932	25146431	25146932	25146682	25146681	673	PBMC	4.50567	4.77083	0.8076923076923077
57	chr2	25151954	25152454	25151953	25152454	25152204	25152203	566	AML	3.82429	4.74903	0.78125
58	chr2	25154714	25155214	25154713	25155214	25154964	25154963	673	PBMC	2.74181	3.55159	0.3717948717948718
59	chr2	25157127	25157627	25157126	25157627	25157377	25157376	103	PBMC	2.98177	4.12851	0.33333333333333337
60	chr2	25161433	25161933	25161432	25161933	25161683	25161682	576	PBMC	3.94505	5.07389	0.5
61	chr2	25165900	25166400	25165899	25166400	25166150	25166149	990	AML	4.9532	5.32481	0.38235294117647056
62	chr2	25168063	25168563	25168062	25168563	25168313	25168312	566	AML	3.13587	4.74023	0.65625
63	chr2	25168672	25169172	25168671	25169172	25168922	25168921	673	PBMC	2.70097	3.93447	0.3589743589743589
64	chr2	25176549	25177049	25176548	25177049	25176799	25176798	673	PBMC	2.82355	4.17659	0.41025641025641024
65	chr2	25178275	25178775	25178274	25178775	25178525	25178524	673	PBMC	4.00948	4.79272	0.7692307692307692
66	chr2	25196349	25196849	25196348	25196849	25196599	25196598	673	PBMC	6.79058	6.11571	0.8846153846153846
67	chr2	25201775	25202275	25201774	25202275	25202025	25202024	673	PBMC	6.35161	6.0311	0.8717948717948718
68	chr2	25206988	25207488	25206987	25207488	25207238	25207237	673	PBMC	5.15123	5.41306	0.858974358974359
69	chr2	25213061	25213561	25213060	25213561	25213311	25213310	270	AML	2.59373	4.50219	0.4
70	chr2	25214994	25215494	25214993	25215494	25215244	25215243	566	AML	4.50321	5.25337	0.84375
71	chr2	25215851	25216351	25215850	25216351	25216101	25216100	990	AML	28.05905	13.53008	0.9117647058823529
72	chr2	25227020	25227520	25227019	25227520	25227270	25227269	027	AML	2.44072	4.43965	0.6428571428571428
73	chr2	25228758	25229258	25228757	25229258	25229008	25229007	472	AML	2.55272	4.78583	0.1428571428571429
74	chr2	25230654	25231154	25230653	25231154	25230904	25230903	566	AML	2.08066	3.73921	0.15625
75	chr2	25231524	25232024	25231523	25232024	25231774	25231773	773	AML	2.44485	4.17246	0
76	chr2	25250802	25251302	25250801	25251302	25251052	25251051	773	AML	3.27879	4.60052	0.30000000000000004
77	chr2	25251513	25252013	25251512	25252013	25251763	25251762	018	AML	4.38849	5.2691	0.6
78	chr2	25252153	25252653	25252152	25252653	25252403	25252402	990	AML	15.4982	9.05405	0.8235294117647058
79	chr2	25263093	25263593	25263092	25263593	25263343	25263342	270	AML	2.56555	4.42053	0.19999999999999996
80	chr2	25267691	25268191	25267690	25268191	25267941	25267940	673	PBMC	4.15255	4.89257	0.7948717948717949
81	chr2	25273323	25273823	25273322	25273823	25273573	25273572	773	AML	5.68996	5.76812	0.5333333333333333
82	chr2	25275188	25275688	25275187	25275688	25275438	25275437	018	AML	3.32086	4.58993	0.4
83	chr2	25276643	25277143	25276642	25277143	25276893	25276892	576	PBMC	5.33006	5.07375	0.5789473684210527
84	chr2	25277156	25277656	25277155	25277656	25277406	25277405	773	AML	5.28693	5.49803	0.4666666666666667
85	chr2	25279254	25279754	25279253	25279754	25279504	25279503	673	PBMC	2.54635	3.54755	0.33333333333333337
86	chr2	25285846	25286346	25285845	25286346	25286096	25286095	576	PBMC	9.17042	7.74317	0.736842105263158
87	chr2	25290937	25291437	25290936	25291437	25291187	25291186	546	AML	2.53717	3.55051	0
88	chr2	25294450	25294950	25294449	25294950	25294700	25294699	1360	AML	4.27856	5.17842	0.7931034482758621
89	chr2	25295050	25295550	25295049	25295550	25295300	25295299	103	PBMC	13.59463	7.75419	0.8181818181818181
90	chr2	25301382	25301882	25301381	25301882	25301632	25301631	546	AML	6.64422	6.11995	0.5
91	chr2	25309302	25309802	25309301	25309802	25309552	25309551	990	AML	3.4328	4.58342	0.17647058823529416
92	chr2	25314370	25314870	25314369	25314870	25314620	25314619	576	PBMC	7.37497	6.79309	0.6578947368421053
93	chr2	25314884	25315384	25314883	25315384	25315134	25315133	546	AML	2.87069	4.31476	0.02777777777777779
94	chr2	25323531	25324031	25323530	25324031	25323781	25323780	1360	AML	2.2127	4.1201	0.3448275862068966
95	chr2	25342345	25342845	25342344	25342845	25342595	25342594	673	PBMC	15.43109	7.38552	0.9743589743589743
96	chr2	25347147	25347647	25347146	25347647	25347397	25347396	673	PBMC	2.34384	3.80532	0.23076923076923073
97	chr2	25349116	25349616	25349115	25349616	25349366	25349365	673	PBMC	2.3002	4.02493	0.14102564102564108
98	chr2	25354742	25355242	25354741	25355242	25354992	25354991	673	PBMC	3.34783	4.45831	0.5769230769230769
99	chr2	25361835	25362335	25361834	25362335	25362085	25362084	673	PBMC	10.4795	7.03376	0.9487179487179487
100	chr2	25362624	25363124	25362623	25363124	25362874	25362873	576	PBMC	12.67561	8.53396	0.7894736842105263
101	chr2	25373341	25373841	25373340	25373841	25373591	25373590	673	PBMC	3.37231	3.72761	0.6025641025641026
102	chr2	25375736	25376236	25375735	25376236	25375986	25375985	566	AML	3.25111	4.33304	0.6875
103	chr2	25376796	25377296	25376795	25377296	25377046	25377045	1360	AML	9.75547	7.03469	0.9310344827586207
104	chr2	25387079	25387579	25387078	25387579	25387329	25387328	673	PBMC	3.89125	4.71032	0.7435897435897436
105	chr2	25398383	25398883	25398382	25398883	25398633	25398632	103	PBMC	2.44731	4.13565	0.09090909090909094
106	chr2	25400205	25400705	25400204	25400705	25400455	25400454	673	PBMC	4.06481	5.00637	0.782051282051282
107	chr2	25403271	25403771	25403270	25403771	25403521	25403520	103	PBMC	2.65018	4.28105	0.18181818181818177
108	chr2	25404161	25404661	25404160	25404661	25404411	25404410	673	PBMC	2.50654	4.06908	0.2948717948717948
109	chr2	25419567	25420067	25419566	25420067	25419817	25419816	103	PBMC	3.85661	4.89261	0.5454545454545454
110	chr2	25421178	25421678	25421177	25421678	25421428	25421427	673	PBMC	3.36406	4.62813	0.5897435897435898
111	chr2	25432402	25432902	25432401	25432902	25432652	25432651	566	AML	2.9053	4.79461	0.59375
112	chr2	25447716	25448216	25447715	25448216	25447966	25447965	673	PBMC	2.3002	4.02493	0.1282051282051282
113	chr2	25463537	25464037	25463536	25464037	25463787	25463786	1360	AML	2.1995	4.18408	0.13793103448275867
114	chr2	25473330	25473830	25473329	25473830	25473580	25473579	673	PBMC	2.3002	4.02493	0.11538461538461542
115	chr2	25478711	25479211	25478710	25479211	25478961	25478960	673	PBMC	3.04055	4.52805	0.5384615384615384
116	chr2	25483481	25483981	25483480	25483981	25483731	25483730	546	AML	6.26262	6.34236	0.4722222222222222
117	chr2	25495556	25496056	25495555	25496056	25495806	25495805	1360	AML	2.1995	4.1694	0
118	chr2	25507203	25507703	25507202	25507703	25507453	25507452	673	PBMC	2.3002	4.02493	0.08974358974358976
119	chr2	25517716	25518216	25517715	25518216	25517966	25517965	270	AML	2.56555	4.42053	0.1333333333333333
120	chr2	25518591	25519091	25518590	25519091	25518841	25518840	673	PBMC	3.04055	4.52805	0.5256410256410257
121	chr2	25522027	25522527	25522026	25522527	25522277	25522276	546	AML	9.96727	8.05848	0.7222222222222222
122	chr2	25524545	25525045	25524544	25525045	25524795	25524794	566	AML	2.06497	4.19528	0.0625
123	chr2	25551490	25551990	25551489	25551990	25551740	25551739	1360	AML	3.14794	4.78181	0.6206896551724138
124	chr2	25557203	25557703	25557202	25557703	25557453	25557452	673	PBMC	3.87427	5.03116	0.717948717948718
125	chr2	25558232	25558732	25558231	25558732	25558482	25558481	546	AML	20.47531	10.87876	0.8888888888888888
126	chr2	25566665	25567165	25566664	25567165	25566915	25566914	027	AML	3.09886	4.88133	1
127	chr2	25567378	25567878	25567377	25567878	25567628	25567627	1360	AML	3.62183	5.01197	0.7241379310344828
128	chr2	25568822	25569322	25568821	25569322	25569072	25569071	673	PBMC	2.87354	4.35667	0.4358974358974359
129	chr2	25587179	25587679	25587178	25587679	25587429	25587428	027	AML	2.1039	4.184	0.2857142857142857
130	chr2	25615873	25616373	25615872	25616373	25616123	25616122	472	AML	2.69452	4.89271	0.5714285714285714
131	chr2	25639834	25640334	25639833	25640334	25640084	25640083	673	PBMC	3.87427	5.03116	0.7051282051282051
132	chr2	25643017	25643517	25643016	25643517	25643267	25643266	673	PBMC	2.3002	4.02493	0.05128205128205132
133	chr2	25655500	25656000	25655499	25656000	25655750	25655749	673	PBMC	3.87427	5.03116	0.6923076923076923
134	chr2	25664641	25665141	25664640	25665141	25664891	25664890	673	PBMC	4.7868	5.53428	0.8205128205128205
135	chr2	25673243	25673743	25673242	25673743	25673493	25673492	673	PBMC	9.24155	6.52337	0.9358974358974359
136	chr2	25673888	25674388	25673887	25674388	25674138	25674137	773	AML	2.60698	4.23146	0.033333333333333326
137	chr2	25687485	25687985	25687484	25687985	25687735	25687734	673	PBMC	2.3002	4.02493	0.038461538461538436
138	chr2	25690485	25690985	25690484	25690985	25690735	25690734	673	PBMC	3.04055	4.52805	0.5128205128205128
139	chr2	25700091	25700591	25700090	25700591	25700341	25700340	027	AML	2.1039	4.184	0.2142857142857143
140	chr2	25713851	25714351	25713850	25714351	25714101	25714100	103	PBMC	3.76364	4.96369	0.5151515151515151
141	chr2	25724823	25725323	25724822	25725323	25725073	25725072	673	PBMC	2.3002	4.02493	0.012820512820512775
142	chr2	25739382	25739882	25739381	25739882	25739632	25739631	673	PBMC	3.83574	4.81443	0.6666666666666667
143	chr2	25740991	25741491	25740990	25741491	25741241	25741240	546	AML	5.28029	5.58121	0.36111111111111116
144	chr2	25743060	25743560	25743059	25743560	25743310	25743309	990	AML	5.93865	5.97989	0.5294117647058824
145	chr2	25743721	25744221	25743720	25744221	25743971	25743970	566	AML	4.13362	5.50176	0.8125
146	chr2	25756609	25757109	25756608	25757109	25756859	25756858	773	AML	7.33823	7.02543	0.7666666666666666
147	chr2	25793568	25794068	25793567	25794068	25793818	25793817	673	PBMC	3.87427	5.03116	0.6794871794871795
148	chr2	25794515	25795015	25794514	25795015	25794765	25794764	576	PBMC	2.67184	4.26929	0.1578947368421053
149	chr2	25818959	25819459	25818958	25819459	25819209	25819208	673	PBMC	3.04055	4.52805	0.5
150	chr2	25822074	25822574	25822073	25822574	25822324	25822323	546	AML	11.41371	8.92721	0.7777777777777778
151	chr2	25831710	25832210	25831709	25832210	25831960	25831959	1360	AML	2.86968	4.58558	0.48275862068965514
